CHWY,Daily,11/12/2024 12:00:00 AM,Price 33.605 (2024-11-12T00:00:00) > 31.5322 (30.01 - 32.67),SwingPointsLiveTradingStrategy,0,Long,Open
BNS.TO,Daily,11/12/2024 12:00:00 AM,Price 75.25 (2024-11-12T00:00:00) is touching from below up trend line 60.68 (2024-08-12T00:00:00) - 70.66 (2024-10-10T00:00:00),SwingPointsLiveTradingStrategy,0,Short,Open
SHOP.TO,Daily,11/12/2024 12:00:00 AM,HmaEmaPriceStrategy: Price cross above HMA50 && EMA50,HmaEmaPriceStrategy,0,Long,Open
BMO.TO,Daily,11/12/2024 12:00:00 AM,HmaEmaPriceStrategy: Price cross above HMA50 && EMA50,HmaEmaPriceStrategy,0,Long,Open
BITF.TO,Daily,11/12/2024 12:00:00 AM,Price 3.77 (2024-11-12T00:00:00) is breaking above down trend line 4.49 (2024-06-20T00:00:00) - 4.3 (2024-07-17T00:00:00),SwingPointsLiveTradingStrategy,0,Long,Open
CNQ.TO,Daily,11/12/2024 12:00:00 AM,HmaEmaPriceStrategy: Price cross below HMA50 && EMA50,HmaEmaPriceStrategy,0,Short,Open
AMZN,Daily,11/12/2024 12:00:00 AM,AMZN|2024-11-22|210.00C: Open Interest: 10096 (62.84%) | Trade time: 2024-11-12 15:59:47 (EST),,0,Long,Open
WFC,Daily,11/12/2024 12:00:00 AM,WFC|2024-12-20|75.00C: Open Interest: 9408 (33.3%) | Trade time: 2024-11-12 15:59:56 (EST),,0,Long,Open
SE,Daily,11/12/2024 12:00:00 AM,SE|2025-01-17|120.00C: Open Interest: 9252 (40.8%) | Trade time: 2024-11-12 15:36:23 (EST),,0,Long,Open
GME,Daily,11/12/2024 12:00:00 AM,GME|2025-01-17|50.00C: Open Interest: 9298 (28.67%) | Trade time: 2024-11-12 15:59:39 (EST),,0,Long,Open
SOUN,Daily,11/12/2024 12:00:00 AM,SOUN|2024-12-20|7.00C: Open Interest: 8145 (41.26%) | Trade time: 2024-11-12 15:59:52 (EST),,0,Long,Open
GOLD,Daily,11/12/2024 12:00:00 AM,GOLD|2024-12-20|18.00C: Open Interest: 8010 (32.55%) | Trade time: 2024-11-12 15:58:29 (EST),,0,Long,Open
RBLX,Daily,11/12/2024 12:00:00 AM,RBLX|2024-12-20|55.00C: Open Interest: 11104 (48.95%) | Trade time: 2024-11-12 15:59:12 (EST),,0,Long,Open
BTBT,Daily,11/12/2024 12:00:00 AM,BTBT|2025-01-17|5.50C: Open Interest: 8640 (34.33%) | Trade time: 2024-11-12 15:58:37 (EST),,0,Long,Open
CORZ,Daily,11/12/2024 12:00:00 AM,CORZ|2025-03-21|20.00C: Open Interest: 8966 (52.04%) | Trade time: 2024-11-12 14:35:15 (EST),,0,Long,Open
NBIS,Daily,11/12/2024 12:00:00 AM,NBIS|2024-12-20|25.00C: Open Interest: 11753 (36.74%) | Trade time: 2024-11-12 15:41:20 (EST),,0,Long,Open
AMD,Daily,11/12/2024 12:00:00 AM,AMD|2024-12-20|150.00C: Open Interest: 13639 (22.5%) | Trade time: 2024-11-12 15:59:51 (EST),,0,Long,Open
TSLA,Daily,11/12/2024 12:00:00 AM,TSLA|2024-12-20|270.00P: Open Interest: 11711 (36.65%) | Trade time: 2024-11-12 15:57:53 (EST),,0,Short,Open
EPD,Daily,11/12/2024 12:00:00 AM,EPD|2025-01-17|31.00C: Open Interest: 7877 (25.65%) | Trade time: 2024-11-12 15:53:28 (EST),,0,Long,Open
BITF,Daily,11/12/2024 12:00:00 AM,BITF|2025-05-16|4.50C: Open Interest: 8096 (33.11%) | Trade time: 2024-11-12 15:55:58 (EST),,0,Long,Open
LCID,Daily,11/12/2024 12:00:00 AM,LCID|2024-11-22|3.00C: Open Interest: 10672 (53.07%) | Trade time: 2024-11-12 15:59:46 (EST),,0,Long,Open
ONON,Daily,11/12/2024 12:00:00 AM,ONON|2025-01-17|60.00C: Open Interest: 21394 (32.68%) | Trade time: 2024-11-12 15:58:30 (EST),,0,Long,Open
CELH,Daily,11/12/2024 12:00:00 AM,CELH|2025-01-17|30.00C: Open Interest: 7914 (23.52%) | Trade time: 2024-11-12 15:59:57 (EST),,0,Long,Open
KULR,Daily,11/12/2024 12:00:00 AM,KULR|2025-04-17|0.50C: Open Interest: 7536 (20.83%) | Trade time: 2024-11-12 15:57:37 (EST),,0,Long,Open
AAL,Daily,11/12/2024 12:00:00 AM,AAL|2025-01-17|14.00C: Open Interest: 9955 (32.7%) | Trade time: 2024-11-12 15:43:26 (EST),,0,Long,Open
F,Daily,11/12/2024 12:00:00 AM,F|2025-01-17|13.00C: Open Interest: 12781 (25.12%) | Trade time: 2024-11-12 15:53:31 (EST),,0,Long,Open
HOOD,Daily,11/12/2024 12:00:00 AM,HOOD|2025-01-17|40.00C: Open Interest: 13016 (29.42%) | Trade time: 2024-11-12 15:59:25 (EST),,0,Long,Open
GOOG,Daily,11/12/2024 12:00:00 AM,GOOG|2025-01-17|180.00P: Open Interest: 7748 (20.52%) | Trade time: 2024-11-12 15:55:34 (EST),,0,Short,Open
PLTR,Daily,11/12/2024 12:00:00 AM,PLTR|2024-12-20|50.00P: Open Interest: 25187 (21.56%) | Trade time: 2024-11-12 15:59:34 (EST),,0,Short,Open
SOFI,Daily,11/12/2024 12:00:00 AM,SOFI|2025-01-17|20.00C: Open Interest: 34136 (25.19%) | Trade time: 2024-11-12 15:59:49 (EST),,0,Long,Open
NIO,Daily,11/12/2024 12:00:00 AM,NIO|2025-02-21|10.00C: Open Interest: 8720 (43.04%) | Trade time: 2024-11-12 15:27:17 (EST),,0,Long,Open
INTC,Daily,11/12/2024 12:00:00 AM,INTC|2025-01-17|36.00C: Open Interest: 19571 (39.14%) | Trade time: 2024-11-12 15:49:17 (EST),,0,Long,Open
RIOT,Daily,11/12/2024 12:00:00 AM,RIOT|2025-03-21|25.00C: Open Interest: 21547 (32.02%) | Trade time: 2024-11-12 15:59:56 (EST),,0,Long,Open
MARA,Daily,11/12/2024 12:00:00 AM,MARA|2025-03-21|35.00C: Open Interest: 14403 (34.08%) | Trade time: 2024-11-12 15:59:58 (EST),,0,Long,Open
DKNG,Daily,11/12/2024 12:00:00 AM,DKNG|2025-01-17|42.00C: Open Interest: 21636 (33.37%) | Trade time: 2024-11-12 15:59:52 (EST),,0,Long,Open
PFE,Daily,11/12/2024 12:00:00 AM,PFE|2024-12-20|26.00P: Open Interest: 39556 (117.76%) | Trade time: 2024-11-12 15:58:26 (EST),,0,Short,Open
IREN,Daily,11/12/2024 12:00:00 AM,IREN|2026-01-16|12.50P: Open Interest: 41584 (23.07%) | Trade time: 2024-11-12 15:44:45 (EST),,0,Short,Open
GRAB,Daily,11/12/2024 12:00:00 AM,GRAB|2024-12-20|4.50C: Open Interest: 21542 (134.66%) | Trade time: 2024-11-12 15:59:17 (EST),,0,Long,Open
SIRI,Daily,11/12/2024 12:00:00 AM,SIRI|2025-01-17|30.00C: Open Interest: 35993 (139.04%) | Trade time: 2024-11-12 15:59:58 (EST),,0,Long,Open
CCL,Daily,11/12/2024 12:00:00 AM,CCL|2024-12-20|18.00P: Open Interest: 19356 (236.74%) | Trade time: 2024-11-12 15:08:23 (EST),,0,Short,Open
SNAP,Daily,11/12/2024 12:00:00 AM,SNAP|2025-01-17|13.00C: Open Interest: 27849 (22.2%) | Trade time: 2024-11-12 15:56:34 (EST),,0,Long,Open
NVDA,Daily,11/12/2024 12:00:00 AM,NVDA|2024-12-20|135.00P: Open Interest: 31319 (21.75%) | Trade time: 2024-11-12 15:55:00 (EST),,0,Short,Open
MPW,Daily,11/12/2024 12:00:00 AM,MPW|2024-11-29|4.50P: Open Interest: 73659 (164.87%) | Trade time: 2024-11-12 15:53:14 (EST),,0,Short,Open
RIVN,Daily,11/12/2024 12:00:00 AM,RIVN|2025-01-17|12.50C: Open Interest: 49182 (58.51%) | Trade time: 2024-11-12 15:56:30 (EST),,0,Long,Open
SLV,Daily,11/12/2024 12:00:00 AM,SLV|2025-04-17|28.00C: Open Interest: 11013 (25.93%) | Trade time: 2024-11-12 15:57:53 (EST),,0,Long,Open
QQQ,Daily,11/12/2024 12:00:00 AM,QQQ|2024-11-29|505.00P: Open Interest: 6286 (21.87%) | Trade time: 2024-11-12 15:46:19 (EST),,0,Short,Open
BITO,Daily,11/12/2024 12:00:00 AM,BITO|2025-01-17|23.00C: Open Interest: 11832 (38.79%) | Trade time: 2024-11-12 15:59:57 (EST),,0,Long,Open
KRE,Daily,11/12/2024 12:00:00 AM,KRE|2025-01-17|75.00C: Open Interest: 18471 (81.11%) | Trade time: 2024-11-12 15:58:09 (EST),,0,Long,Open
JETS,Daily,11/12/2024 12:00:00 AM,JETS|2025-01-17|26.00C: Open Interest: 25358 (64.83%) | Trade time: 2024-11-12 11:06:06 (EST),,0,Long,Open
XBI,Daily,11/12/2024 12:00:00 AM,XBI|2025-01-17|110.00C: Open Interest: 8752 (31.55%) | Trade time: 2024-11-12 15:55:24 (EST),,0,Long,Open
EWZ,Daily,11/12/2024 12:00:00 AM,EWZ|2025-01-17|27.00C: Open Interest: 9172 (27.96%) | Trade time: 2024-11-12 13:18:00 (EST),,0,Long,Open
ARKK,Daily,11/12/2024 12:00:00 AM,ARKK|2024-12-20|70.00C: Open Interest: 28110 (35.74%) | Trade time: 2024-11-12 15:59:40 (EST),,0,Long,Open
XLF,Daily,11/12/2024 12:00:00 AM,XLF|2024-12-20|46.00P: Open Interest: 26064 (26.65%) | Trade time: 2024-11-12 15:01:15 (EST),,0,Short,Open
IWM,Daily,11/12/2024 12:00:00 AM,IWM|2025-01-17|230.00P: Open Interest: 23085 (22.91%) | Trade time: 2024-11-12 16:00:23 (EST),,0,Short,Open
SPY,Daily,11/12/2024 12:00:00 AM,SPY|2024-12-20|560.00P: Open Interest: 70606 (31.19%) | Trade time: 2024-11-12 16:07:12 (EST),,0,Short,Open
U,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross below HMA50 && EMA50,,0,Short,Open
ACHR,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross above HMA50 && EMA50,,0,Long,Open
PLUG,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross below HMA50 && EMA50,,0,Short,Open
LAZR,Daily,11/12/2024 12:00:00 AM,High Option Interest With Price 1.13 (2024-11-12T00:00:00) is breaking above down trend line 0.997 (2024-10-07T00:00:00) - 0.968 (2024-10-28T00:00:00) and intersecting with previous tops 1.04,,0,Long,Open
PBR,Daily,11/12/2024 12:00:00 AM,High Option Interest With Price 13.72 (2024-11-12T00:00:00) > 13.50875 (13.06 - 13.72),,0,Long,Open
CLSK,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross above HMA50 && EMA50,,0,Long,Open
NEM,Daily,11/12/2024 12:00:00 AM,High Option Interest With Price 41.58 (2024-11-12T00:00:00) < 43.453575 (42.88 - 44.85),,0,Short,Open
SHOP,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross above HMA50 && EMA50,,0,Long,Open
GLD,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross below HMA50 && EMA50,,0,Short,Open
GDX,Daily,11/12/2024 12:00:00 AM,High Option Interest With Price 36.11 (2024-11-12T00:00:00) < 36.6102 (36.33 - 37.64),,0,Short,Open
BABA,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross below HMA50 && EMA50,,0,Short,Open
SLB,Daily,11/12/2024 12:00:00 AM,High Option Interest With Price 44.33 (2024-11-12T00:00:00) is breaking above down trend line 50.94 (2024-07-19T00:00:00) - 46.155 (2024-10-07T00:00:00),,0,Long,Open
TLT,Daily,11/12/2024 12:00:00 AM,High Option Interest With Price 90.66 (2024-11-12T00:00:00) < 91.909125 (92.25 - 93.44),,0,Short,Open
FXI,Daily,11/12/2024 12:00:00 AM,High Option Interest With HmaEmaPriceStrategy: Price cross below HMA50 && EMA50,,0,Short,Open